Colegio,A�o de creaci�n,G�nero,Distrito
Primer Colegio Nacional de la República Nuestra Señora de Guadalupe,1840,Masculino,Cercado de Lima
Primer Colegio Privado de Mujeres de los Sagrados Corazones Belén,1848 (Fundación en el Cercado) 1962 (Traslado a San Isidro),Mujeres,Cercado de Lima // San Isidro
Colegio de la Inmaculada,1878 (Fundación en el Cercado) 1956 (Traslado a Surco),Masculino,Cercado de Lima //Surco
Colegio Salesiano San Francisco de Sales,1893 (Fundación Rímac) 1898 (Traslado a Breña),Masculino,Rimac // Breña
Colegio Sagrados Corazones Recoleta,1893 (Fundación Plaza Francia) 1961 (Traslado a Ate Vitarte),Mixto,Cercado de Lima // Ate Vitarte (ahora La Molina)
Colegio Señor de la Misericordia,1899,Femenino,Cercado de Lima
Colegio Pestalozzi,1939,Mixto,Miraflores
Colegio San Agustín,1903 (Fundación en Lima) 1965 (Traslado a San Isidro),Mixto,Lima // San Isidro
Colegio América de La Victoria (antigua Escuela América de La Victoria),1913,Mixto,Miraflores  (ahora La Victoria)
Colegio San Andrés (antiguo Anglo Peruano),1917,Mixto,Cercado de Lima
Colegio de Jesús,1919,Mixto,Pueblo Libre
Institución Educativa N° 7053 Reino de España,1920,Mixto,Barranco
Colegio Salesiano Rosenthal de la Puente,1923,Mixto,Magdalena del Mar
Colegio Villa María,1923 (Fundación en Miraflores) 1962 (Traslado a Ate),Femenino,Miraflores // Ate Vitarte (ahora La Molina)
Colegio San Luis Maristas,1923,mixto,Barranco
Colegio Peruano Chino Diez de Octubre,1924,Mixto,"Breña, San Miguel"
Colegio Santa Ana,1926,Mixto,San Miguel
Colegio La Salle,1926,Mixto,Cercado de Lima (ahora Breña)
Colegio Champagnat,1927 (Fundación en Miraflores) 2005 (Traslado a Surco),Mixto,Miraflores // Santiago de Surco
Institución Educativa Emblemática Alfonso Ugarte,1927 (Fundación en Lima) 1952 (Traslado a San Isidro),Mixto,Lima // San Isidro
Primer Colegio Nacional de Mujeres Rosa de Santa María,1927 (Fundación en Lima) 1940 (Traslado a Breña),Femenino,Cercado de Lima (ahora Breña)
Colegio San José de Cluny,1932,Mixto,"Barranco, Surquillo"
Institución Educativa de Varones Diego Ferré,1932,Masculino,Cercado de Lima (ahora Jesús María)
St. George's College,1932,Mixto,Miraflores
Colegio Dalton,1933,Mixto,Miraflores (ahora Lince)
Colegio Nuestra Señora de Copacabana,1933,Femenino,Rímac
Colegio Claretiano,1934,Mixto,San Miguel
Institución Educativa N°0002 Hermano Anselmo María,1936,Mixto,Breña
Colegio Santa Úrsula,1936,Femenino,San Isidro
Colegio Nuestra Señora de la Paz,1937,Femenino,Magdalena del Mar
San Silvestre School,1938,Femenino,Miraflores
Colegio Santa María Marianistas,1939,Masculino,Santiago de Surco
Colegio Beata Imelda,1939,Mixto,Lurigancho - Chosica
Colegio Winnetka,1940,Mixto,Chosica
Colegio Sor Rosa Larrabure,1943,Femenino,Magdalena del Mar
Institución Educativa Argentina,1943,Femenino,Cercado de Lima
Institución Educativa Emblemática Elvira García y García,1943,Femenino,Pueblo Libre
Colegio Inmaculado Corazón,1944,Masculino,Miraflores
Institución Educativa Emblemática N° 6052 José María Eguren,1944,Mixto,Barranco
Institución Educativa Emblemática Juana Alarco de Dammert (Miraflores),1945,Femenino,Miraflores
Colegio León Pinelo,1946,Mixto,Miraflores (ahora San Isidro)
Colegio Franklin Delano Roosevelt,1946,Mixto,Ate Vitarte (ahora La Molina)
Markham College,1946,Mixto,"Miraflores, Surco"
Institución Educativa Emblemática Bartolomé Herrera,1947,Mixto,San Miguel
Institución Educativa Emblemática María Parado de Bellido,1947,Femenino,Rímac
Colegio Peruano Japonés La Victoria,1948,Mixto,Magdalena del Mar
Institución Educativa N° 1088 Francisco Bolognesi,1948,Mixto,Magdalena del Mar
Institución Educativa Emblemática Hipólito Unanue,1948,Mixto,Cercado de Lima
Institución Educativa Emblemática Mariano Melgar,1948,Mixto,Breña
Institución Educativa Emblemática Melitón Carvajal,1948,Mixto,Lince
Institución Educativa Emblemática Mercedes Cabello de Carbonera,1948,Femenino,Cercado de Lima
Institución Educativa Micaela Bastidas,1949,Femenino,Breña
Colegio Franco-Peruano,1950,Mixto,Surco
Colegio Isabel Flores de Oliva,1950,Mixto,San Isidro
Colegio Mater Admirabilis,1950,Femenino,San Miguel
Colegio Santa Margarita,1951,Mixto,Surco
Colegio Parroquial Santa Rosa de Lima,1951,Mixto,Lince
