NOMBRE,CARGO
Dra. Zoraida Avalos Rivera,Fiscal De La Nación
Dr.  Pablo Wilfredo Sanchez Velarde,Fiscal Supremo Titular de la Primera Fiscalía Suprema en lo Penal
Dr. Victor Raúl Rodríguez Monteza,Fiscal Supremo Titular de  la Fiscalía Suprema en lo Civil
Dr. Jesús Eliseo Martín Fernández Alarcón,Fiscal Supremo Provisional Transitorio de la Fiscalía Suprema Transitoria  Especializada en Delitos cometidos por Funcionarios Públicos
Dra. María Isabel Sokolich Alva,Fiscal Suprema Provisional en la Fiscalía Suprema de Control Interno
José Julio Pisconte Ramos,Gerente General del Ministerio Público
Dra. Ana María Velarde Roa,Secretaria General de la Fiscalía de la Nación
Dr. Alfonso José Carrizales Dávila,Procurador de la Procuraduría Publica del Ministerio Público
Dra. Marina Cuela Ochoa,Gerente Central de la Escuela del Ministerio Público
Dra. Rosario Susana López Wong,"Fiscal Superior Titular Penal de Lima, Coordinadora de la Unidad Central de Asistencia a Víctimas y Testigos del Ministerio Público y Coordinadora Nacional de las Fiscalías Especializadas en Delitos de Trata de Personas"
Dr. José Fredy Jiménez Allende,Gerente Central de la Oficina General de Finanzas
Ing. Eco.  Mary Del Rosario Jessen Vigil,Gerente Central de la Oficina General de Planificación y  Presupuesto
Ing. Ronald Christian Arbizu Alvarado,Gerente Central de la Oficina General de Infraestructura
Ing. Ángel Jimy Espezua Chalco,Gerente Central de la Oficina General de Tecnologías de la Información
Dr. Luis Germaná Matta,Fiscal Superior Titular -  Presidente de la Junta de Fiscales Superiores del Distrito Fiscal de Lima
Dra. Aida Patricia Wadsworth Zarate,GERENCIA DE ABASTECIMIENTO
Eco. Giuliana Patricia Guillen Paredes,Gerente de la Oficina de Control Patrimonial y Registro de Bienes Incautados
Dra. Elsa Victoria Perata Argomedo,PRESIDENTA DE LA JUNTA DE FISCALES SUPERIORES DEL DISTRITO FISCAL DE LIMA NORTE
Dr. Jorge Valdivia Grados,Presidente de la Junta de Fiscales Superiores - Huancavelica
Dr. Ricardo Pablo Jiménez Flores,Presidente de la Junta de Fiscales Superiores - Ucayali
